prefill,decode,conc,isl,osl,date,endpoint_type,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,source_file
2,2,64,128,2048,20250922-025553,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,59.51817790299992,500,63996,335051,8.400794809526557,,5629.389403453365,6704.6239327142885,235.91585732400063,131.48974350008302,346.32465203219135,1546.4870621099271,10.2528028404983,10.400989448931679,1.2828456527664283,12.475718359087708,9.22015378060744,9.259502999839242,1.2491043060797828,12.847874499925638,2p2d_conc64_in128_out2048_20250922_025445.json
2,2,64,2048,128,20250922-063704,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,12.338145123000231,500,1023101,32858,40.524730015366885,,2663.12315768985,85584.9067645936,883.6306243260078,551.9101689999388,913.0502699933003,3515.4284369803395,9.49026672683773,9.554087395270285,1.433457392011925,12.477111431813599,9.149924480993894,9.120419999817386,3.59239856806207,22.39445903984688,2p2d_conc64_in2048_out128_20250922_063641.json
2,2,64,2048,2048,20250922-025155,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,65.13735983499987,500,1023101,383847,7.676086369889036,,5892.885449645593,21599.708731885275,334.213190533997,116.71616450007605,478.93383919598006,2127.8719444899707,10.472073575931077,10.48383008281032,1.2254602854151928,12.987106430000702,9.675851946841894,9.581688000025679,1.6895056129180157,14.940836879909503,2p2d_conc64_in2048_out2048_20250922_025032.json
2,2,64,2048,32784,20250922-035923,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,1380.7521051010003,500,1023101,5845088,0.3621214830329197,,4233.263870035845,4974.237572860771,460.20688416200755,126.06603999984145,784.8952470854908,4084.9897233798033,13.702614328000816,13.599989709536858,3.640275539313973,24.442724339020387,13.466829070779495,12.998561000131303,3.3017923866178833,22.924824130195702,2p2d_conc64_in2048_out32784_20250922_033359.json
2,2,64,32784,2048,20250922-030837,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,243.41737293499978,500,16392000,639187,2.0540851048191864,,2625.8889917881224,69967.01506818034,9406.761432368005,10672.1337969999,7380.678311542387,26854.99493745,16.127282154630272,15.878289280410351,7.003684849081081,23.687057855012572,15.213401662315018,15.420805999838194,11.785031425198621,93.2918190800774,2p2d_conc64_in32784_out2048_20250922_030325.json
3,1,128,128,2048,20250923-040740,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,52.23862731500003,500,63996,317505,9.571461305539087,,6077.973643630376,7303.044119048935,1050.7358104819905,695.6906395000715,1059.2473000081009,3304.3026801900714,15.38481500491389,15.63981492281381,4.20246562627219,41.11866709819011,14.42057885889811,15.249553000103333,5.924299905122232,21.178574880159438,3p1d_conc128_in128_out2048_20250923_040639.json
3,1,128,2048,128,20250917-065754,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,10.813523119000365,500,1023101,31980,46.23839931700461,,2957.4080203156145,97570.51317956907,1258.5850172579994,1009.2669774999194,867.5456522898272,3347.836845869951,13.728917196674962,14.163030933075596,2.824936029984957,18.23795648198029,13.442902311340543,12.311926500160553,9.079470460365744,44.68140368991953,3p1d_conc128_in2048_out128_20250917_065731.json
3,1,128,2048,2048,20250923-041515,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,61.205529019000096,500,1023101,407356,8.169196607136334,,6655.5425061932565,23371.36894210884,795.1685202639937,441.5954680002869,748.7463946155707,2526.983084499769,16.460667843450068,16.116022610894035,3.364554482850562,22.299847940815443,14.754838003974376,15.113080499986609,6.08152980158833,25.928298450003243,3p1d_conc128_in2048_out2048_20250923_041355.json
3,1,128,32784,2048,20250915-160714,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,354.9062710779999,500,16392000,628398,1.4088226688170071,,1770.602694878539,47957.445069375295,43667.843476366004,41587.16953900011,20561.053988722822,89647.44181134012,25.93436955791575,27.184233765490646,6.785481208472582,38.011313345439035,25.482091622019812,26.103185500005566,16.486188888125472,101.32350582006893,3p1d_conc128_in32784_out2048_20250915_160010.json
3,1,32,128,2048,20250923-041040,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,96.00086018100001,500,63996,333396,5.208286665945494,,3472.8438825591275,4139.462909506823,99.84862389601858,85.77379900020787,32.34449577073058,209.87927096004114,10.479621129107631,10.87835395998809,1.394296547715795,12.698349274540059,8.898028803340981,8.768368500113866,1.193464478053006,13.226755150321877,3p1d_conc32_in128_out2048_20250923_040856.json
3,1,32,2048,128,20250917-065841,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,13.902627837000182,500,1023101,31276,35.96442383858609,,2249.6466399512374,75840.12262731379,162.77919192799436,110.65856699974574,172.8815346592511,1006.8284043800477,11.392065010095566,11.451139700787417,1.0141169858543129,13.622406279100687,11.11367772517554,10.501836499997808,4.165748164155095,24.679878249799003,3p1d_conc32_in2048_out128_20250917_065817.json
3,1,32,2048,2048,20250923-041856,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,108.78902629699996,500,1023101,364301,4.596051798781366,,3348.6925326957007,12753.142915465729,136.91798075199858,99.26567149977927,121.67501239669963,699.7556196499311,10.128764355399635,10.542377724522598,1.4970327417173663,12.656528753639328,8.603223989631692,8.134161999805656,1.58157251627136,14.064630999655492,3p1d_conc32_in2048_out2048_20250923_041649.json
3,1,32,32784,2048,20250915-155353,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,371.9251665050001,500,16392000,642874,1.3443564593881228,,1728.50362894536,45801.88579352558,1314.4754949799935,852.5843549996353,1259.824018335516,6983.871288349803,17.628311950068106,17.328077961407043,2.762235064306386,24.50913299024333,17.011714514669016,16.415124000104697,13.511475363644712,98.29720887012176,3p1d_conc32_in32784_out2048_20250915_154634.json
3,1,64,128,2048,20250923-040855,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,67.71811185100023,500,63996,327004,7.383549043720343,,4828.900142985454,5773.935352189308,291.5069000919857,99.3826019998778,558.3378602894594,2646.070881260266,12.649129060153458,13.01870363208506,1.8117072708883297,15.427816215480396,10.994724246710595,11.069912499579004,1.7969974924531027,16.55558576028397,3p1d_conc64_in128_out2048_20250923_040740.json
3,1,64,2048,128,20250917-065816,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,11.21745421300011,500,1023101,31467,44.5733934372151,,2805.1819425776953,94011.34874059411,527.2846022679987,213.12843650002833,697.0313747086079,2615.400184239865,13.459109187409723,13.769616181806752,3.2286026295457138,17.228781209203873,12.996354083701982,12.202822999825003,14.678572542692386,37.320115280062964,3p1d_conc64_in2048_out128_20250917_065754.json
3,1,64,2048,2048,20250923-041649,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,74.80266670399988,500,1023101,393204,6.684253677459655,,5256.550565983692,18933.88380930899,222.61597572198843,127.87087150013576,208.5227068483233,907.2013464797918,12.908152823330447,13.171465821879735,1.8549352596741557,16.181954905820625,11.32665311023314,10.921478000000207,2.005188819313136,18.109420229939108,3p1d_conc64_in2048_out2048_20250923_041515.json
3,1,64,32784,2048,20250915-160010,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,308.322684795,500,16392000,634299,1.6216776275558313,,2057.2569949620724,55222.33633675245,3264.768740074006,1973.478440000008,3135.8783803436145,14156.865020050374,27.556902223519515,28.135594809477322,4.406743498630399,36.83714935498983,27.05093739576111,27.56658599992079,18.55866416930091,111.07324985991002,3p1d_conc64_in32784_out2048_20250915_155354.json
